grantee,grantee_url,year,amount,issue_area,sub_issue_area,grant_info
National Day Laborer Organizing Network,/grants/grantee/national-day-laborer-organizing-network,2016,"$100,000",Immigrant Rights,California Statewide and Local Policy,"To amplify the voices of immigrant day laborers to protect and expand their rights. $100,000"
National Day Laborer Organizing Network,/grants/grantee/national-day-laborer-organizing-network,2016,"$56,000",Leadership,Investing in Our Grantees,"For setting strategy and building the leadership teams needed for the next phase of work and growth. $56,000"
National Immigration Forum,/grants/grantee/national-immigration-forum,2016,"$175,000",Immigrant Rights,Federal Immigration Reform,"To lift up faith, business and law enforcement voices to support immigrant rights. $175,000"
National Immigration Law Center,/grants/grantee/national-immigration-law-center,2016,"$300,000",Immigrant Rights,Federal Immigration Reform,"To defend and advance the rights of low-income immigrants and their families. $300,000 (over two years)"
National Immigration Law Center,/grants/grantee/national-immigration-law-center,2016,"$2,500",Immigrant Rights,Federal Immigration Reform,
National Korean American Service & Education Consortium,/grants/grantee/national-korean-american-service-education-consortium,2016,"$10,000",Community,,
National Korean American Service & Education Consortium,/grants/grantee/national-korean-american-service-education-consortium,2016,"$51,000",Leadership,Investing in Our Grantees,"To strengthen board and staff leadership for growth, with focus on fundraising and communications. $51,000"
National Korean American Service & Education Consortium,/grants/grantee/national-korean-american-service-education-consortium,2016,"$200,000",Immigrant Rights,California Civic Participation,"To increase civic participation and elevate the voices of Asian American immigration policy debates. $200,000 over two years"
National Lesbian & Gay Journalists Association,/grants/grantee/national-lesbian-gay-journalists-association,2016,"$180,000",Gay and Lesbian Rights,Research & Communications,"To organize annual convenings providing gay newspaper editors and bloggers with in-depth information about key issues in the struggle for LGBT equality and immigration reform. $180,000 over two years (2016-2018)"
National LGBTQ Task Force,/grants/grantee/national-lgbtq-task-force,2016,"$280,000",Gay and Lesbian Rights,Communities of Faith,"For the Institute for Welcoming Resources to coordinate state-based and national efforts to amplify the voices of people of faith in educating the public about the need to protect LGBT people from discrimination. $280,000 over 18 months (2016-2018)"
National LGBTQ Task Force,/grants/grantee/national-lgbtq-task-force,2016,"$200,000",Gay and Lesbian Rights,Public Education,"To advance equal rights for gay people by broadening and diversifying the LGBT movement's base of leadership and engaging non-gay progressive allies. $200,000"
National LGBTQ Task Force,/grants/grantee/national-lgbtq-task-force,2016,"$5,000",Immigrant Rights,,
National Queer Asian Pacific Islander Alliance,/grants/grantee/national-queer-asian-pacific-islander-alliance,2016,"$130,000",Gay and Lesbian Rights,Cross Movement,"To promote immigrant and LGBT rights within Asian American communities. $130,000 over two years (2016-2018)"
NEO Philanthropy,/grants/grantee/neo-philanthropy,2016,"$5,000",Immigrant Rights,California Civic Participation,
Netroots Connect,/grants/grantee/netroots-connect,2016,"$25,000",Gay and Lesbian Rights,Research & Communications,
"New Israel Fund, San Francisco",/grants/grantee/new-israel-fund-san-francisco,2016,"$5,000",Community,,
New Teacher Center,/grants/grantee/new-teacher-center,2016,"$25,000",Education Equity,,
Northern California Grantmakers,/grants/grantee/northern-california-grantmakers,2016,"$17,500",Community,,
Northern Plains Resource Council,/grants/grantee/northern-plains-resource-council,2016,"$10,000",Community,,
Oakland Museum of California Foundation,/grants/grantee/oakland-museum-of-california-foundation,2016,"$2,500",Community,,
Pacific School of Religion - Center for Lesbian and Gay Studies in Religion and Ministry,/grants/grantee/pacific-school-of-religion-center-for-lesbian-and-gay-studies-in-religion-and-ministry,2016,"$250,000",Gay and Lesbian Rights,Communities of Faith,"For the Umoja project to engage African American clergy in educating the public about the need to protect LGBT people from discrimination. $250,000 over two years (2016-2018)"
Palm Center,/grants/grantee/palm-center,2016,"$25,000",Community,,
Parents for Public Schools,/grants/grantee/parents-for-public-schools,2016,"$70,000",Education Equity,Early Success and PreK-3rd,"To support parent education and engagement of underserved families in San Francisco. $70,000"
PICO National Network,/grants/grantee/pico-national-network,2016,"$300,000",Immigrant Rights,California Civic Participation,"To engage California faith communities in advocating for the rights of immigrants. $300,000 over two years (2016-2018)"
Pride Foundation,/grants/grantee/pride-foundation,2016,"$150,000",Gay and Lesbian Rights,Public Education,"To defend gains in marriage equality and nondiscrimination protections for LGBT people. $150,000"
Project Open Hand,/grants/grantee/project-open-hand,2016,"$25,000",Community,,
Project Open Hand,/grants/grantee/project-open-hand,2016,"$15,000",Community,,
Proteus Fund,/grants/grantee/proteus-fund,2016,"$200,000",Gay and Lesbian Rights,Public Education,"For the Human Rights/Religious Liberties Collaborative to advance basic human rights and affirm religious liberties. $200,000"
Public Conversations Project,/grants/grantee/public-conversations-project,2016,"$10,000",Community,,
Public Policy Institute of California,/grants/grantee/public-policy-institute-of-california,2016,"$75,000",Education Equity,,"To focus the attention of school district leaders on the academic needs of English Learners and low-income students. $75,000 over two years"
Public Religion Research Institute,/grants/grantee/public-religion-research-institute,2016,$500,Gay and Lesbian Rights,,
Public Religion Research Institute,/grants/grantee/public-religion-research-institute,2016,"$160,000",Gay and Lesbian Rights,Research & Communications,"To study the attitudes of Americans on LGBT issues in all 50 states. $160,000"
Radio Bilingue,/grants/grantee/radio-bilingue,2016,"$100,000",Immigrant Rights,California Statewide and Local Policy,"To support Spanish-language public radio programming on immigration policies and civic participation in California. $100,000 over two years (2016-2018)"
Raphael House of San Francisco,/grants/grantee/raphael-house-of-san-francisco,2016,"$10,000",Community,,
Reconciling Ministries Network,/grants/grantee/reconciling-ministries-network,2016,"$250,000",Gay and Lesbian Rights,Communities of Faith,"To engage Methodist clergy and lay people in educating the public about the need to protect LGBT people from discrimination. $250,000 over two years (2016-2018)"
ReconcilingWorks: Lutherans for Full Participation,/grants/grantee/reconcilingworks-lutherans-for-full-participation,2016,"$35,000",Leadership,Investing in Our Grantees,"For board and staff leadership development and fundraising capacity. $35,000"
Red Tab Foundation,/grants/grantee/red-tab-foundation,2016,"$5,000",Community,,
Renaissance Entrepreneurship Center,/grants/grantee/renaissance-entrepreneurship-center,2016,"$1,000",,,
Rockwood Leadership Institute,/grants/grantee/rockwood-leadership-institute,2016,"$50,000",Leadership,Investing in Our Grantees,"To develop its senior team development and to integrate a culture of philanthropy into its work. ($50,000 over 18 months)"
Salvation Army,/grants/grantee/salvation-army,2016,"$25,000",Community,,
San Diego LGBT Center,/grants/grantee/san-diego-lgbt-center,2016,"$150,000",Immigrant Rights,California Civic Participation,"For the Engage San Diego project to increase civic participation of underrepresented groups in the region. $150,000"
San Diego LGBT Center,/grants/grantee/san-diego-lgbt-center,2016,"$10,000",Community,,
San Francisco and Marin Food Bank,/grants/grantee/san-francisco-and-marin-food-bank,2016,"$80,000",Community,,"To meet the needs of the poor and disadvantaged by sustaining and increasing the efficiency of its food distribution program. $80,000 over two years (2016-2018)"
San Francisco Ballet,/grants/grantee/san-francisco-ballet,2016,"$1,000",Community,,
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2016,"$50,000",Community,,"For an advised fund. $50,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2016,"$50,000",Community,,"To advance racial and economic equity, in honor of Ira Hirschfield. $50,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2016,"$85,000",Community,,"For an advised fund. $85,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2016,"$260,000",Community,,"For an advised fund. $260,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2016,"$260,000",Community,,"For an advised fund. $260,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2016,"$150,000",Community,,"For an advised fund. $150,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2016,"$25,000",Community,,
San Francisco Free Clinic,/grants/grantee/san-francisco-free-clinic,2016,"$1,000",Community,,
San Francisco Museum of Modern Art,/grants/grantee/san-francisco-museum-of-modern-art,2016,"$10,000",Community,,
San Francisco Planning and Urban Research Association,/grants/grantee/san-francisco-planning-and-urban-research-association,2016,"$5,000",,,
San Francisco State University Foundation,/grants/grantee/san-francisco-state-university-foundation,2016,"$10,000",,,
San Francisco Study Center,/grants/grantee/san-francisco-study-center,2016,"$90,000",Education Equity,Early Success and PreK-3rd,"For planning the expansion of San Francisco Beacon Centers and improving program quality. $90,000"
San Francisco Study Center,/grants/grantee/san-francisco-study-center,2016,"$25,000",Community,,
San Francisco Symphony,/grants/grantee/san-francisco-symphony,2016,"$15,000",Community,,
San Francisco Symphony,/grants/grantee/san-francisco-symphony,2016,"$10,000",Community,,
ScoutSeven,/grants/grantee/scoutseven,2016,"$40,000",Community,,"To enhance the ""Discover Our Model"" section of the website of the Dreamer program at U.C. Berkeley. $40,000"
Services and Advocacy for GLBT Elders,/grants/grantee/services-and-advocacy-for-glbt-elders,2016,"$175,000",Gay and Lesbian Rights,Public Education,"To engage older LGBT people in efforts to educate the public about the harms caused by anti-LGBT discrimination. $175,000 over two years (2016-2018)"
Services and Advocacy for GLBT Elders,/grants/grantee/services-and-advocacy-for-glbt-elders,2016,"$1,250",Gay and Lesbian Rights,,
"Services, Immigrant Rights and Education Network (SIREN)",/grants/grantee/services-immigrant-rights-and-education-network-siren,2016,"$85,000",Immigrant Rights,California Civic Participation,"To increase citizenship and immigrant civic engagement in the South Bay. $85,000"
"Services, Immigrant Rights and Education Network (SIREN)",/grants/grantee/services-immigrant-rights-and-education-network-siren,2016,"$64,000",Leadership,Investing in Our Grantees,"To strengthen its board and fundraising culture. $64,000"
Sierra Health Foundation Center for Health Program Management,/grants/grantee/sierra-health-foundation-center-for-health-program-management,2016,"$100,000",Immigrant Rights,California Civic Participation,"To increase immigrant civic engagement in Fresno County. $100,000"
Sierra Health Foundation Center for Health Program Management,/grants/grantee/sierra-health-foundation-center-for-health-program-management,2016,"$25,000",Education Equity,,
Small Business Majority Foundation,/grants/grantee/small-business-majority-foundation,2016,"$125,000",Gay and Lesbian Rights,Public Education,"To amplify the voices of small business owners in debates around the need to protect gay people from discrimination. $125,000"
Society of St. Vincent de Paul of Alameda County,/grants/grantee/society-of-st-vincent-de-paul-of-alameda-county,2016,"$20,000",Community,,
SPARK SF Public Schools,/grants/grantee/spark-sf-public-schools,2016,"$10,000",Education Equity,,
SPARK SF Public Schools,/grants/grantee/spark-sf-public-schools,2016,"$35,000",Education Equity,PreK-12 Systems Change,"For SFUSD to bolster student achievement by improving its English Language Arts program. $35,000"
"Spitfire Strategies, LLC",/grants/grantee/spitfire-strategies-llc,2016,"$42,000",Leadership,Strengthening Social Movements,"To support executive-level strategic communications training and coaching. $42,000"
"Spitfire Strategies, LLC",/grants/grantee/spitfire-strategies-llc,2016,"$84,000",Leadership,Strengthening Social Movements,"To support executive-level strategic communications training and coaching. $84,000"
St. Anthony Foundation,/grants/grantee/st-anthony-foundation,2016,"$10,000",Community,,
St. Anthony Foundation,/grants/grantee/st-anthony-foundation,2016,"$25,000",Community,,
St. Vincent de Paul Society of San Francisco,/grants/grantee/st-vincent-de-paul-society-of-san-francisco,2016,"$10,000",Community,,
Stanford University - Center for Education Policy Analysis,/grants/grantee/stanford-university-center-for-education-policy-analysis,2016,"$200,000",Education Equity,Early Success and PreK-3rd,"To evaluate a multi-lingual preschool texting program to improve its effectiveness in increasing parent engagement and student learning. $200,000 over two years (2016-2018)"
Stanford University - John W. Gardner Center for Youth and Their Communities,/grants/grantee/stanford-university-john-w-gardner-center-for-youth-and-their-communities,2016,"$100,000",Education Equity,Early Success and PreK-3rd,"For the Gardner Center to lay the groundwork for a kindergarten readiness measure that is shared by San Francisco Head Start providers and San Francisco Unified. $100,000"
Stanford University - School of Education,/grants/grantee/stanford-university-school-of-education,2016,"$100,000",Education Equity,PreK-12 Systems Change,"For the Policy Analysis for California Education (PACE) center to study PreK-3 alignment in San Francisco and Fresno. $100,000"
Stern Grove Festival Association,/grants/grantee/stern-grove-festival-association,2016,"$1,500",Community,,
Stern Grove Festival Association,/grants/grantee/stern-grove-festival-association,2016,"$15,000",Community,,
Swords to Plowshares,/grants/grantee/swords-to-plowshares,2016,"$10,000",Community,,
"Tandem, Partners in Early Learning",/grants/grantee/tandem-partners-in-early-learning,2016,"$100,000",Education Equity,Early Success and PreK-3rd,"To promote early literacy in the homes of the most underserved San Francisco communities. $100,000"
"Tandem, Partners in Early Learning",/grants/grantee/tandem-partners-in-early-learning,2016,"$100,000",Education Equity,Early Success and PreK-3rd,"To evaluate and refine a program that promotes early literacy in the homes of the most underserved San Francisco communities. $100,000"
Tenderloin Neighborhood Development Corporation,/grants/grantee/tenderloin-neighborhood-development-corporation,2016,$350,,,
The Reformation Project,/grants/grantee/the-reformation-project,2016,"$50,000",Gay and Lesbian Rights,Communities of Faith,"To promote respectful dialogue within the evangelical church about the need to protect LGBT people from discrimination. $50,000"
Tides Center,/grants/grantee/tides-center,2016,"$1,250,000",Leadership,Investing in Our Grantees,"To support the Flexible Leadership Awards program and launch the fundraising initiative. ($1,250,000)"
Tides Center,/grants/grantee/tides-center,2016,"$15,993",Leadership,,
Tides Center,/grants/grantee/tides-center,2016,"$1,050,000",Leadership,Investing in Our Grantees,"To support the Flexible Leadership Awards program and advance field knowledge. ($1,050,000)"
Tides Center,/grants/grantee/tides-center,2016,"$10,000",Community,,
Tides Center,/grants/grantee/tides-center,2016,"$125,000",Immigrant Rights,California Civic Participation,"For the Haas Leadership Initiatives Project to increase civic participation in traditionally underrepresented communities in Orange County. $125,000"
Tides Center,/grants/grantee/tides-center,2016,"$575,000",Leadership,Investing in Our Grantees,
Tides Foundation,/grants/grantee/tides-foundation,2016,"$75,000",Immigrant Rights,Federal Immigration Reform,"To support the Alliance for Citizenship in coordinating national communications and messaging. $75,000"
Transgender Law Center,/grants/grantee/transgender-law-center,2016,"$58,000",Leadership,Investing in Our Grantees,"To strengthen the senior team and build an inclusive culture. $58,000"
Transgender Law Center,/grants/grantee/transgender-law-center,2016,"$10,000",Community,,
Transgender Law Center,/grants/grantee/transgender-law-center,2016,"$200,000",Gay and Lesbian Rights,Litigation,"To secure nondiscrimination protections for gay and transgender people through litigation and policy advocacy. $200,000 over two years (2016-2018)"
Trevor Project,/grants/grantee/trevor-project,2016,"$1,000",Gay and Lesbian Rights,,
Turn On To America (T.O.T.A.),/grants/grantee/turn-on-to-america-t-o-t-a,2016,"$10,000",Community,,
U.C. Berkeley Food Pantry,/grants/grantee/u-c-berkeley-food-pantry,2016,"$10,000",Community,,
U.C. Berkeley Foundation,/grants/grantee/u-c-berkeley-foundation,2016,"$20,000",Community,,
U.C. Berkeley Foundation,/grants/grantee/u-c-berkeley-foundation,2016,"$50,000",Community,,"For the Undocumented Student Programs, in honor of Ira Hirschfield. $50,000"
UFW Foundation,/grants/grantee/ufw-foundation,2016,"$57,000",Leadership,Investing in Our Grantees,"To develop and align the staff and board behind a long-term strategic plan. $57,000"
UFW Foundation,/grants/grantee/ufw-foundation,2016,"$100,000",Immigrant Rights,California Statewide and Local Policy,"To educate farmworkers and their families about immigration policies and to increase their civic participation. $100,000 (over two years)"
United Way of the Bay Area,/grants/grantee/united-way-of-the-bay-area,2016,"$20,000",Community,,
United We Dream Network,/grants/grantee/united-we-dream-network,2016,"$200,000",Immigrant Rights,Federal Immigration Reform,"To educate the public about the needs of undocumented youth and their families. $200,000"
United We Dream Network,/grants/grantee/united-we-dream-network,2016,"$25,000",Community,,
Unity Council,/grants/grantee/unity-council,2016,"$10,000",,,
"University of California, Berkeley",/grants/grantee/university-of-california-berkeley,2016,"$25,000",Community,,
"University of California, Berkeley - Institute of Governmental Studies",/grants/grantee/university-of-california-berkeley-institute-of-governmental-studies,2016,"$10,000",Gay and Lesbian Rights,Research & Communications,
"University of California, Davis - Wheelhouse Center for Community College Leadership and Research",/grants/grantee/university-of-california-davis-wheelhouse-center-for-community-college-leadership-and-research,2016,"$100,000",Education Equity,College Pipeline,"For the Wheelhouse Center for Community College Leadership and Research to build the skills of community college leaders across California. $100,000"
"University of California, Los Angeles - School of Law",/grants/grantee/university-of-california-los-angeles-school-of-law,2016,"$50,000",Gay and Lesbian Rights,Research & Communications,"For the Williams Institute to conduct and disseminate research on the impact of supportive and discriminatory LGBT policies. $50,000"
University of San Francisco,/grants/grantee/university-of-san-francisco,2016,"$5,000",Community,,
University of Southern California - Center for the Study of Immigrant Integration,/grants/grantee/university-of-southern-california-center-for-the-study-of-immigrant-integration,2016,"$75,000",Immigrant Rights,California Statewide and Local Policy,
Wheaton College,/grants/grantee/wheaton-college,2016,"$5,000",Community,,
Yosemite Conservancy,/grants/grantee/yosemite-conservancy,2016,$250,Community,,
A Safe Place,/grants/grantee/a-safe-place,2015,"$10,000",Community,,
ACLU Foundation of Southern California,/grants/grantee/aclu-foundation-of-southern-california,2015,"$100,000",Leadership,Investing in Our Grantees,"To support the alumni of the Fellowship for a New California to build leadership and common ground. $100,000 over 18 months (2015-2017)"
ACLU Foundation of Southern California,/grants/grantee/aclu-foundation-of-southern-california,2015,"$50,000",Immigrant Rights,California Statewide and Local Policy,"To provide legal and strategic advice to immigrant rights organizations and advocates in Orange County and the Inland Empire. $50,000"
Alameda County Community Food Bank,/grants/grantee/alameda-county-community-food-bank,2015,"$80,000",Community,,"To distribute nutritious food to children, adults and seniors struggling with food-insecurity in Alameda County. $80,000 over two years (2015-2017)"
Alameda Family Services,/grants/grantee/alameda-family-services,2015,"$15,000",Community,,
Alliance San Diego,/grants/grantee/alliance-san-diego,2015,"$185,000",Immigrant Rights,California Civic Participation,"To promote immigrant rights and civic participation in San Diego. $185,000"
American Civil Liberties Union Foundation,/grants/grantee/american-civil-liberties-union-foundation,2015,"$50,000",Gay and Lesbian Rights,Marriage Equality,"For public education to prevent ""religious liberty"" claims from eroding gains in marriage equality and nondiscrimination protections. $50,000"
American Civil Liberties Union Foundation,/grants/grantee/american-civil-liberties-union-foundation,2015,"$191,000",Gay and Lesbian Rights,Marriage Equality,"For the LGBT Project to pursue litigation to secure and defend marriage equality in all 50 states and protect gay couples from discrimination. $191,000"
American Civil Liberties Union Foundation of Northern California,/grants/grantee/american-civil-liberties-union-foundation-of-northern-california,2015,"$50,000",Immigrant Rights,California Statewide and Local Policy,"For the Drive California campaign to help undocumented Californians obtain driving licenses. $50,000"
Amos House,/grants/grantee/amos-house,2015,"$40,000",Community,,"For its food and soup kitchen. $40,000"
Anka Behavioral Health,/grants/grantee/anka-behavioral-health,2015,"$10,000",Community,,
Arthritis Foundation,/grants/grantee/arthritis-foundation,2015,$250,Community,,
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2015,"$200,000",Immigrant Rights,California Statewide and Local Policy,"For the California Immigrant Policy Center project to advance immigrant rights and integration policies. $200,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2015,"$100,000",Immigrant Rights,California Civic Participation,"To help undocumented immigrants in Los Angeles County apply for Administrative Relief. $100,000"
Asian Americans/Pacific Islanders in Philanthropy,/grants/grantee/asian-americans-pacific-islanders-in-philanthropy,2015,"$2,500",Community,,
Asian Pacific Islander Legal Outreach,/grants/grantee/asian-pacific-islander-legal-outreach,2015,"$50,000",Immigrant Rights,California Civic Participation,"For the East Bay Naturalization Collaborative to increase the number of immigrants becoming citizens in Alameda and Contra Costa counties. $50,000"
Asian Women's Shelter,/grants/grantee/asian-women-s-shelter,2015,"$10,000",Community,,
Astraea Lesbian Foundation for Justice,/grants/grantee/astraea-lesbian-foundation-for-justice,2015,"$125,000",Leadership,Strengthening Social Movements,"For the Pipeline Project's 21st Century Fellowship and alumni program to increase the number of leaders of color in the gay movement. ($125,000 over 18 months)"
Bay Area Partnership,/grants/grantee/bay-area-partnership,2015,"$1,500",Education Equity,Early Success and PreK-3rd,
Bay Area Rescue Mission,/grants/grantee/bay-area-rescue-mission,2015,"$25,000",Community,,
Bay Area Women's and Children's Center,/grants/grantee/bay-area-women-s-and-children-s-center,2015,"$25,000",Community,,
Bernal Heights Neighborhood Center,/grants/grantee/bernal-heights-neighborhood-center,2015,"$15,000",Community,,
Black Alliance for Just Immigration,/grants/grantee/black-alliance-for-just-immigration,2015,"$32,000",Leadership,Investing in Our Grantees,"For new executive leadership coaching and board development. $32,000"
Black Alliance for Just Immigration,/grants/grantee/black-alliance-for-just-immigration,2015,"$150,000",Immigrant Rights,Federal Immigration Reform,"To engage African Americans and African immigrants in local, state and national immigration policy debates. $150,000 over two years (2015-2017)"
BoardSource,/grants/grantee/boardsource,2015,"$60,000",Leadership,Advancing Knowledge and Learning,"To expand the reach of its governance tools and knowledge and to debunk myths about fundraising that hamper nonprofit success. $60,000"
Borealis Philanthropy,/grants/grantee/borealis-philanthropy,2015,"$10,000",Gay and Lesbian Rights,Cross Movement,
Breast Cancer Action,/grants/grantee/breast-cancer-action,2015,"$1,000",Community,,
Breast Cancer Fund,/grants/grantee/breast-cancer-fund,2015,"$1,000",Community,,
Buck Institute for Age Research,/grants/grantee/buck-institute-for-age-research,2015,"$10,000",Community,,
Building Futures With Women & Children,/grants/grantee/building-futures-with-women-children,2015,"$20,000",Community,,
California Academy of Sciences,/grants/grantee/california-academy-of-sciences,2015,"$5,000",Community,,
California Association of School Business Officials (CASBO),/grants/grantee/california-association-of-school-business-officials-casbo,2015,"$75,000",Education Equity,PreK-12 Systems Change,"To produce a budget toolkit for districts to enable greater community engagement in the Local Control Funding Formula process. $75,000"
California Calls Education Fund,/grants/grantee/california-calls-education-fund,2015,"$200,000",Immigrant Rights,California Civic Participation,"To support African American civic engagement in California. $200,000 over 18 months (2015-2016)"
California Pacific Medical Center Foundation,/grants/grantee/california-pacific-medical-center-foundation,2015,"$30,000",Community,,"For the African American and Sister to Sister Breast Health Programs and the Kalmanovitz Child Development Center. $30,000"
California Pacific Medical Center Foundation,/grants/grantee/california-pacific-medical-center-foundation,2015,"$2,000",Community,,
CalNonprofits,/grants/grantee/calnonprofits,2015,"$5,000",Leadership,,
Campaign for College Opportunity,/grants/grantee/campaign-for-college-opportunity,2015,"$400,000",Education Equity,College Access and Success,"To educate about the need for California policies to improve student success in community colleges, and to support the implementation of college access reforms in the Bay Area. $400,000 over two years (2015-2017)"
Campaign for College Opportunity,/grants/grantee/campaign-for-college-opportunity,2015,"$50,000",Leadership,Investing in Our Grantees,"To strengthen senior leadership for a major new strategy. 50,000"
Center for Community Change,/grants/grantee/center-for-community-change,2015,"$200,000",Immigrant Rights,Federal Immigration Reform,"To support grassroots organizing and public education for immigration reform across the U.S. $200,000"
Center for Effective Philanthropy,/grants/grantee/center-for-effective-philanthropy,2015,"$5,000",Community,,
Center for Working Families,/grants/grantee/center-for-working-families,2015,"$10,000",Community,,
Central Coast Alliance United for a Sustainable Economy,/grants/grantee/central-coast-alliance-united-for-a-sustainable-economy,2015,"$100,000",Immigrant Rights,California Statewide and Local Policy,"To organize low-income communities in the Central Coast to advance immigrant rights. $100,000 over two years (2015-2017)"
Centro de Servicios Resource Center,/grants/grantee/centro-de-servicios-resource-center,2015,"$10,000",Community,,
Child and Family Policy Center,/grants/grantee/child-and-family-policy-center,2015,"$25,000",Education Equity,Early Success and PreK-3rd,
Children Now,/grants/grantee/children-now,2015,"$90,000",Education Equity,PreK-12 Systems Change,"To promote transparency in district budgets during the Local Control Funding Formula process and greater community engagement to advocate for students with the greatest needs. $90,000"
Chinese for Affirmative Action,/grants/grantee/chinese-for-affirmative-action,2015,"$70,000",Immigrant Rights,California Statewide and Local Policy,"To promote Asian American civic participation and integration and help shape a strong future for the City College of San Francisco. $70,000"
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2015,"$9,500",Community,,
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2015,"$2,500",Community,,
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2015,"$600,000",Community,,"For emergency support to families and individuals in the Bay Area. $600,000"
Citizen Engagement Lab Education Fund,/grants/grantee/citizen-engagement-lab-education-fund,2015,"$150,000",Immigrant Rights,California Civic Participation,"For the 18MillionRising.org and Presente.org projects to conduct online advocacy and organizing in Asian American and Latino communities. $150,000"
"CityTeam Ministries, San Francisco",/grants/grantee/cityteam-ministries-san-francisco,2015,"$15,000",Community,,
Coaching Corps,/grants/grantee/coaching-corps,2015,"$10,000",Community,,
Coaching Corps,/grants/grantee/coaching-corps,2015,"$10,000",,,
Coaching Corps,/grants/grantee/coaching-corps,2015,"$65,000",Leadership,Investing in Our Grantees,"To develop executive and senior team leadership. $65,000"
COFEM,/grants/grantee/cofem,2015,"$100,000",Immigrant Rights,California Civic Participation,"To increase civic participation of Mexican immigrants in California. $100,000 over two years (2015-2017)"
Coleman Advocates for Children and Youth,/grants/grantee/coleman-advocates-for-children-and-youth,2015,"$1,125",Community,,
Coleman Advocates for Children and Youth,/grants/grantee/coleman-advocates-for-children-and-youth,2015,"$50,000",Education Equity,College Access and Success,"For Students Making a Change to amplify the voices of students in policy discussions at City College and in California. $50,000"
Columbia University of New York - Law School,/grants/grantee/columbia-university-of-new-york-law-school,2015,"$25,000",Gay and Lesbian Rights,Research & Communications,
Columbia University of New York - Law School,/grants/grantee/columbia-university-of-new-york-law-school,2015,"$25,000",Gay and Lesbian Rights,Research & Communications,
Community Initiatives,/grants/grantee/community-initiatives,2015,"$35,000",Education Equity,PreK-12 Systems Change,"For the Parent Advisory Council project to help parents shape San Francisco Unified School District's policies. $35,000"
Community Initiatives,/grants/grantee/community-initiatives,2015,"$30,000",Community,,"To strengthen strategic communications to advance the work of Haas, Jr. Fund grantees. $30,000"
Community Initiatives,/grants/grantee/community-initiatives,2015,"$60,000",Community,,"To strengthen strategic communications to advance the work of Haas, Jr. Fund grantees. $60,000"
Compass Family Services,/grants/grantee/compass-family-services,2015,"$25,000",Community,,
CompassPoint Nonprofit Services,/grants/grantee/compasspoint-nonprofit-services,2015,"$200,000",Leadership,Advancing Knowledge and Learning,"To support communications about fundraising success stories and to support new research and innovations for social change nonprofits. $200,000"
Contemporary Jewish Museum,/grants/grantee/contemporary-jewish-museum,2015,"$1,000",Community,,
Council on Foundations,/grants/grantee/council-on-foundations,2015,"$40,000",Community,,"For membership dues. $40,000"
East Oakland Community Project,/grants/grantee/east-oakland-community-project,2015,"$25,000",Community,,
Enact Leadership,/grants/grantee/enact-leadership,2015,"$145,000",Leadership,Investing in Our Grantees,"For coaching and support of the leadership teams driving change in the San Francisco school district and its Early Childhood Division. $145,000"
Equality California Institute,/grants/grantee/equality-california-institute,2015,"$5,000",Gay and Lesbian Rights,Cross Movement,
Equality California Institute,/grants/grantee/equality-california-institute,2015,"$200,000",Gay and Lesbian Rights,Cross Movement,"To engage key California gay organizations in helping undocumented people obtain temporary legal status under President Obama's administrative relief programs. $200,000"
Equality Federation Institute,/grants/grantee/equality-federation-institute,2015,"$130,000",Community,,"To provide messaging and spokesperson training to support nondiscrimination public education campaigns nationwide. $130,000"
Equality Federation Institute,/grants/grantee/equality-federation-institute,2015,"$40,000",Leadership,Investing in Our Grantees,"For strengthening racial-equity and team-based approaches to staff and board leadership. $40,000"
Equality North Carolina Foundation,/grants/grantee/equality-north-carolina-foundation,2015,"$100,000",Gay and Lesbian Rights,Nondiscrimination,"To educate North Carolinians about the need to protect gay people from discrimination and to engage in cross-movement work. $100,000"
Equality Ohio Education Fund,/grants/grantee/equality-ohio-education-fund,2015,"$40,000",Leadership,Investing in Our Grantees,"To support an executive transition. $40,000"
Exploratorium,/grants/grantee/exploratorium,2015,"$2,000",Community,,
Family Equality Council,/grants/grantee/family-equality-council,2015,"$15,000",Gay and Lesbian Rights,Marriage Equality,
Foundation of City College of San Francisco,/grants/grantee/foundation-of-city-college-of-san-francisco,2015,"$25,000",Education Equity,College Access and Success,
Freedom to Marry,/grants/grantee/freedom-to-marry,2015,"$175,000",Gay and Lesbian Rights,Marriage Equality,"To provide coordination, strategic advice and messaging support to the national marriage equality movement. $175,000"
